stem,score,horizontal_split_signals,vertical_split_signals,both_axis_cells,wide_text_boxes,tall_text_boxes,num_rows,num_cols,cells,image_path,json_path,examples
e1a11d4c707ee632d1f118af58abd733e667bb657d84677b3e04ad4e7c8ac806_0000,865,117,97,39,28,0,59,4,112,/home/chanho-cho/projects/Datasets/table_structure_val/image/e1a11d4c707ee632d1f118af58abd733e667bb657d84677b3e04ad4e7c8ac806_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/e1a11d4c707ee632d1f118af58abd733e667bb657d84677b3e04ad4e7c8ac806_0000.json,"cell#2 r1c0 bbox=[10.5, 17.2, 334.6, 37.1] crosses_v=2 crosses_h=1 text='. . . . . . . . . 85.13 Platform Specific Problems . . . . . . . . .' || cell#3 r0c0 bbox=[17.2, 0.7, 334.6, 19.2] crosses_v=2 crosses_h=0 text='. . . . . . . . .' || cell#6 r2c0 bbox=[23.6, 35.3, 334.6, 55.0] crosses_v=2 crosses_h=0 text='85.13.1 EBCDIC Platforms . . . . . . . . . .' || cell#8 r3c0 bbox=[47.2, 56.2, 228.2, 72.0] crosses_v=1 crosses_h=0 text='85.13.2 Cygwin 1.5 problems'"
bc87c5f86f2daf10d9ffecb4f709c9c033d7ed2acd8034a60eb8913cb048b8fe_0000,823,85,146,22,15,5,34,6,56,/home/chanho-cho/projects/Datasets/table_structure_val/image/bc87c5f86f2daf10d9ffecb4f709c9c033d7ed2acd8034a60eb8913cb048b8fe_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/bc87c5f86f2daf10d9ffecb4f709c9c033d7ed2acd8034a60eb8913cb048b8fe_0000.json,"cell#0 r0c0 bbox=[0.7, 3.3, 640.3, 35.5] crosses_v=5 crosses_h=0 text='1 6' || cell#1 r2c0 bbox=[0.7, 51.7, 640.3, 59.9] crosses_v=5 crosses_h=0 text='GROUP FINANCIAL COMMUNICATION 263' || cell#2 r1c0 bbox=[4.6, 41.9, 640.4, 51.1] crosses_v=5 crosses_h=0 text='PRESENTATION 3 SHAREHOLDERS -' || cell#3 r4c0 bbox=[-2.8, 62.8, 265.1, 92.9] crosses_v=1 crosses_h=0 text='1.1 Messages from the Chairman of the Board and the Chief Executive Officer 1.2 '"
475ac7e80b2d94fb69b2ec75eca5e8b4ab65227ad38625e48d762835cc4241db_0000,575,58,94,23,4,0,52,4,147,/home/chanho-cho/projects/Datasets/table_structure_val/image/475ac7e80b2d94fb69b2ec75eca5e8b4ab65227ad38625e48d762835cc4241db_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/475ac7e80b2d94fb69b2ec75eca5e8b4ab65227ad38625e48d762835cc4241db_0000.json,"cell#1 r0c2 bbox=[79.8, 31.6, 357.4, 50.7] crosses_v=1 crosses_h=0 text='Notes on Implementing Pod Processors . . . .' || cell#3 r1c1 bbox=[27.1, 51.1, 52.2, 67.8] crosses_v=1 crosses_h=0 text='34.6' || cell#4 r1c2 bbox=[79.7, 52.0, 357.5, 68.6] crosses_v=1 crosses_h=0 text='About L < ... > Codes . . . . . . . . . . . .' || cell#5 r2c2 bbox=[83.1, 67.1, 259.4, 83.6] crosses_v=1 crosses_h=0 text='. . About = over... = back Regions'"
e460f7277ce7a24cf776b3788beb03a028081fcd4442b638e276c1ce0c99e9d9_0000,551,7,156,4,42,0,51,4,147,/home/chanho-cho/projects/Datasets/table_structure_val/image/e460f7277ce7a24cf776b3788beb03a028081fcd4442b638e276c1ce0c99e9d9_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/e460f7277ce7a24cf776b3788beb03a028081fcd4442b638e276c1ce0c99e9d9_0000.json,"cell#4 r1c2 bbox=[87.5, 51.0, 468.4, 68.4] crosses_v=1 crosses_h=0 text='Arrow Rule . . . . . . . . . . . . . . . . . . . . . . . .' || cell#8 r2c1 bbox=[52.2, 71.0, 111.3, 87.7] crosses_v=1 crosses_h=1 text='Solution' || cell#11 r3c1 bbox=[52.2, 82.7, 89.3, 99.5] crosses_v=0 crosses_h=1 text='The' || cell#12 r3c2 bbox=[107.0, 82.5, 468.4, 104.1] crosses_v=0 crosses_h=1 text='Rest . . . . . . .'"
75b8fbfac76b5109a742493b6cca02053de37291c989f51d45ad87ef4625d7f8_0000,471,67,50,19,25,0,49,5,168,/home/chanho-cho/projects/Datasets/table_structure_val/image/75b8fbfac76b5109a742493b6cca02053de37291c989f51d45ad87ef4625d7f8_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/75b8fbfac76b5109a742493b6cca02053de37291c989f51d45ad87ef4625d7f8_0000.json,"cell#0 r0c0 bbox=[23.1, 18.9, 59.4, 31.7] crosses_v=1 crosses_h=0 text='63.4' || cell#1 r0c2 bbox=[77.9, 18.4, 523.0, 29.9] crosses_v=1 crosses_h=0 text='KNOWNPROBLEMS . . . . . . . . . . . . . . . . . . . . . . . . . .' || cell#4 r1c0 bbox=[23.3, 38.7, 53.8, 55.6] crosses_v=1 crosses_h=1 text='63.5' || cell#6 r1c3 bbox=[153.7, 44.2, 527.3, 57.6] crosses_v=1 crosses_h=0 text='. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .'"
b90923d092ac62e8cd10110238d60be1cdad3d79ff04d67017784c13b69ab6fd_0000,458,50,54,29,1,0,54,3,102,/home/chanho-cho/projects/Datasets/table_structure_val/image/b90923d092ac62e8cd10110238d60be1cdad3d79ff04d67017784c13b69ab6fd_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/b90923d092ac62e8cd10110238d60be1cdad3d79ff04d67017784c13b69ab6fd_0000.json,"cell#1 r0c1 bbox=[89.9, 4.4, 191.6, 31.5] crosses_v=1 crosses_h=1 text='Lifetime of' || cell#2 r1c0 bbox=[36.2, 20.5, 315.6, 39.6] crosses_v=1 crosses_h=1 text='the parent process and 48.2.5 CAVEATS AND LIMITATIONS' || cell#5 r2c0 bbox=[20.0, 39.9, 143.1, 51.7] crosses_v=1 crosses_h=1 text='48.3 BUGS . .' || cell#7 r2c2 bbox=[697.5, 39.6, 723.0, 55.6] crosses_v=0 crosses_h=1 text='778'"
6e62e8babcfb075dc96b67be2440a912ff62f537d7f45ad74eadfc5c60c7a76a_0000,457,55,55,17,42,0,55,4,166,/home/chanho-cho/projects/Datasets/table_structure_val/image/6e62e8babcfb075dc96b67be2440a912ff62f537d7f45ad74eadfc5c60c7a76a_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/6e62e8babcfb075dc96b67be2440a912ff62f537d7f45ad74eadfc5c60c7a76a_0000.json,"cell#1 r0c1 bbox=[72.5, 27.3, 326.2, 40.5] crosses_v=1 crosses_h=0 text='Reporting Bugs . . . . . . . . . . . . .' || cell#2 r1c1 bbox=[69.0, 45.8, 503.8, 62.9] crosses_v=1 crosses_h=0 text='. . . . . . . . . . . . . . . . SEE ALSO . . . . . . . . . . . . . . . . . . . .' || cell#5 r2c1 bbox=[64.4, 65.8, 541.5, 81.4] crosses_v=1 crosses_h=0 text='. . . . HISTORY . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ' || cell#10 r3c1 bbox=[65.8, 113.0, 365.9, 128.5] crosses_v=1 crosses_h=1 text='perl5005delta'"
50c3e0f1f41b70005e350a213ed03c78c61f1885d5903c9a41b0d289b43c8fee_0000,434,63,45,22,0,0,53,4,179,/home/chanho-cho/projects/Datasets/table_structure_val/image/50c3e0f1f41b70005e350a213ed03c78c61f1885d5903c9a41b0d289b43c8fee_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/50c3e0f1f41b70005e350a213ed03c78c61f1885d5903c9a41b0d289b43c8fee_0000.json,"cell#1 r0c1 bbox=[71.7, 6.0, 218.0, 18.2] crosses_v=1 crosses_h=0 text='Utility Changes . . .' || cell#5 r1c2 bbox=[91.7, 28.1, 290.9, 43.8] crosses_v=1 crosses_h=0 text=""Perl's debugger . . . . . . ."" || cell#8 r2c2 bbox=[96.7, 47.8, 291.0, 63.7] crosses_v=1 crosses_h=0 text='h2ph . . . . . . . . . . . .' || cell#11 r3c2 bbox=[83.6, 63.2, 297.2, 79.6] crosses_v=1 crosses_h=0 text='Installation and Configuration Improvements'"
9a37ee4c3344af718e67bca6c1a0cf2b5df9ed4494d2104f8eed7fc0779624c1_0000,417,45,53,11,68,0,53,2,104,/home/chanho-cho/projects/Datasets/table_structure_val/image/9a37ee4c3344af718e67bca6c1a0cf2b5df9ed4494d2104f8eed7fc0779624c1_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/9a37ee4c3344af718e67bca6c1a0cf2b5df9ed4494d2104f8eed7fc0779624c1_0000.json,"cell#1 r0c1 bbox=[68.1, 1.6, 616.4, 16.6] crosses_v=1 crosses_h=0 text='TS7700 components and task distribution . . . . . . . . . . . . . . . . . . . . ' || cell#5 r2c1 bbox=[304.0, 35.2, 616.1, 53.0] crosses_v=1 crosses_h=0 text='. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 632' || cell#7 r3c1 bbox=[320.7, 52.7, 615.1, 71.8] crosses_v=1 crosses_h=0 text='. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 632' || cell#8 r4c0 bbox=[20.0, 74.3, 366.3, 90.8] crosses_v=1 crosses_h=0 text='11.3.5 Parameters and customization of the TS7700'"
884e90b575d8bcf8f9f2679bae75d5fffe8aea5c2036c0e778b57c98ee55d428_0000,412,90,8,7,83,0,50,4,103,/home/chanho-cho/projects/Datasets/table_structure_val/image/884e90b575d8bcf8f9f2679bae75d5fffe8aea5c2036c0e778b57c98ee55d428_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/884e90b575d8bcf8f9f2679bae75d5fffe8aea5c2036c0e778b57c98ee55d428_0000.json,"cell#0 r0c0 bbox=[3.1, 4.4, 354.1, 17.1] crosses_v=1 crosses_h=0 text=""Newton's Law of Motion.............................................5-17"" || cell#1 r1c0 bbox=[16.6, 23.9, 354.1, 36.6] crosses_v=1 crosses_h=0 text='First...........................................................................' || cell#2 r2c0 bbox=[16.6, 43.4, 354.1, 56.1] crosses_v=1 crosses_h=0 text='Second......................................................................5-17' || cell#3 r3c0 bbox=[16.6, 62.9, 322.9, 75.6] crosses_v=1 crosses_h=0 text='Third............................................................... 5-18,'"
