stem,score,horizontal_split_signals,vertical_split_signals,both_axis_cells,wide_text_boxes,tall_text_boxes,num_rows,num_cols,cells,image_path,json_path,examples
d89507ba0a37074df35ef33f40e831842093c21c494cff9fd41e18b7a83ffc19_0000,388,58,48,14,0,0,54,4,166,/home/chanho-cho/projects/Datasets/table_structure_val/image/d89507ba0a37074df35ef33f40e831842093c21c494cff9fd41e18b7a83ffc19_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/d89507ba0a37074df35ef33f40e831842093c21c494cff9fd41e18b7a83ffc19_0000.json,"cell#0 r0c1 bbox=[56.1, 27.5, 355.8, 42.6] crosses_v=1 crosses_h=0 text='50.17.2 OS-Related References . . . . . . . . .' || cell#2 r1c1 bbox=[32.9, 41.7, 225.4, 61.1] crosses_v=2 crosses_h=0 text='50.17.3 Other References' || cell#5 r2c1 bbox=[26.4, 64.0, 57.4, 80.9] crosses_v=1 crosses_h=0 text='50.18' || cell#6 r2c2 bbox=[75.4, 61.5, 298.0, 79.3] crosses_v=1 crosses_h=0 text='Acknowledgements . . . . . . . . .'"
04378bc47871507167e6abdb9af0938610cddf36039ea8b8ce087b804f52a47a_0000,287,33,39,14,1,0,53,4,150,/home/chanho-cho/projects/Datasets/table_structure_val/image/04378bc47871507167e6abdb9af0938610cddf36039ea8b8ce087b804f52a47a_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/04378bc47871507167e6abdb9af0938610cddf36039ea8b8ce087b804f52a47a_0000.json,"cell#31 r10c1 bbox=[35.0, 189.8, 386.5, 204.0] crosses_v=2 crosses_h=0 text='EXTERNAL TOOLS FOR DEBUGGING PERL .' || cell#52 r17c2 bbox=[108.4, 312.0, 303.1, 332.5] crosses_v=0 crosses_h=1 text='Profiling . . . . . . . . . . .' || cell#53 r18c2 bbox=[109.5, 331.0, 303.1, 350.5] crosses_v=0 crosses_h=1 text='. Gprof Profiling . . . . . . .' || cell#61 r20c2 bbox=[107.9, 366.1, 303.1, 386.3] crosses_v=0 crosses_h=1 text='Pixie Profiling . . . . . . .'"
b90923d092ac62e8cd10110238d60be1cdad3d79ff04d67017784c13b69ab6fd_0000,458,50,54,29,1,0,54,3,102,/home/chanho-cho/projects/Datasets/table_structure_val/image/b90923d092ac62e8cd10110238d60be1cdad3d79ff04d67017784c13b69ab6fd_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/b90923d092ac62e8cd10110238d60be1cdad3d79ff04d67017784c13b69ab6fd_0000.json,"cell#1 r0c1 bbox=[89.9, 4.4, 191.6, 31.5] crosses_v=1 crosses_h=1 text='Lifetime of' || cell#2 r1c0 bbox=[36.2, 20.5, 315.6, 39.6] crosses_v=1 crosses_h=1 text='the parent process and 48.2.5 CAVEATS AND LIMITATIONS' || cell#5 r2c0 bbox=[20.0, 39.9, 143.1, 51.7] crosses_v=1 crosses_h=1 text='48.3 BUGS . .' || cell#7 r2c2 bbox=[697.5, 39.6, 723.0, 55.6] crosses_v=0 crosses_h=1 text='778'"
7132036cfcdc055ca76acf374620ce8c13a7906a3a3436dddbb0c8a23b83528b_0000,358,53,38,16,5,0,51,4,143,/home/chanho-cho/projects/Datasets/table_structure_val/image/7132036cfcdc055ca76acf374620ce8c13a7906a3a3436dddbb0c8a23b83528b_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/7132036cfcdc055ca76acf374620ce8c13a7906a3a3436dddbb0c8a23b83528b_0000.json,"cell#0 r0c1 bbox=[58.5, 12.4, 221.1, 29.5] crosses_v=1 crosses_h=0 text='98.5.4 Perl LaTeX Documentation' || cell#4 r1c1 bbox=[68.1, 31.3, 294.3, 47.1] crosses_v=1 crosses_h=0 text='BUILDING PERL ON AMIGAOS' || cell#5 r2c1 bbox=[57.7, 46.7, 299.9, 61.8] crosses_v=1 crosses_h=0 text='. 98.6.1 Build Prerequisites for Perl on' || cell#18 r6c1 bbox=[58.7, 119.7, 312.1, 136.9] crosses_v=1 crosses_h=0 text='98.6.5 Installing the built Perl on AmigaOS'"
1cf41f6ce39b44cc609e94533e10fd2ebe807d59f27e8be16c8168077f10b9a0_0000,262,56,16,9,1,0,53,3,155,/home/chanho-cho/projects/Datasets/table_structure_val/image/1cf41f6ce39b44cc609e94533e10fd2ebe807d59f27e8be16c8168077f10b9a0_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/1cf41f6ce39b44cc609e94533e10fd2ebe807d59f27e8be16c8168077f10b9a0_0000.json,"cell#1 r0c1 bbox=[109.0, 3.9, 411.9, 23.1] crosses_v=1 crosses_h=0 text='-A flag . . . . . . . . . . . . . . . . . . . . . . .' || cell#4 r1c1 bbox=[109.7, 25.5, 411.9, 41.0] crosses_v=1 crosses_h=0 text='Enhanced Installation Directories . . . . . . . . .' || cell#6 r2c0 bbox=[53.7, 41.5, 267.9, 55.6] crosses_v=1 crosses_h=0 text=""91.8.11 gcc automatically tried if 'cc'"" || cell#9 r3c0 bbox=[73.7, 61.2, 243.5, 76.9] crosses_v=1 crosses_h=0 text='Platform specific changes . .'"
eda1c387bbfb4ce2ed9dc15a6fc6a22019553f6fd8a7222f3272b5a62c1bab35_0000,301,27,45,16,1,4,8,11,52,/home/chanho-cho/projects/Datasets/table_structure_val/image/eda1c387bbfb4ce2ed9dc15a6fc6a22019553f6fd8a7222f3272b5a62c1bab35_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/eda1c387bbfb4ce2ed9dc15a6fc6a22019553f6fd8a7222f3272b5a62c1bab35_0000.json,"cell#2 r1c4 bbox=[49.1, 26.2, 374.0, 47.0] crosses_v=6 crosses_h=2 text='----------SCRATCH_STACKED_VOLUMES_AVAILABLE_BY_TYPE----------- NONE' || cell#3 r2c0 bbox=[17.6, 38.2, 49.1, 47.0] crosses_v=0 crosses_h=1 text='RECORD' || cell#4 r2c1 bbox=[59.5, 38.2, 85.7, 47.0] crosses_v=0 crosses_h=1 text='3590J' || cell#5 r2c2 bbox=[101.4, 38.2, 127.6, 47.0] crosses_v=0 crosses_h=1 text='3590K'"
73be01a692d51b38446c7aef29786b52ce3846968a0e3be223946ef6d638bf3d_0000,367,35,38,20,48,0,52,3,148,/home/chanho-cho/projects/Datasets/table_structure_val/image/73be01a692d51b38446c7aef29786b52ce3846968a0e3be223946ef6d638bf3d_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/73be01a692d51b38446c7aef29786b52ce3846968a0e3be223946ef6d638bf3d_0000.json,"cell#36 r12c0 bbox=[61.6, 222.0, 109.0, 238.1] crosses_v=1 crosses_h=0 text='86.15.15' || cell#39 r13c0 bbox=[37.5, 237.6, 234.7, 253.6] crosses_v=1 crosses_h=0 text='86.16 Platform Specific Problems' || cell#72 r24c0 bbox=[60.8, 435.7, 108.5, 452.2] crosses_v=1 crosses_h=0 text='86.16.11' || cell#75 r25c0 bbox=[59.2, 453.7, 108.7, 470.0] crosses_v=1 crosses_h=0 text='86.16.12'"
134f4fa55ab1933296d688dd0edf85d35c5abe261b14400321a5c7faf3cd4a14_0000,403,45,46,17,45,0,47,2,90,/home/chanho-cho/projects/Datasets/table_structure_val/image/134f4fa55ab1933296d688dd0edf85d35c5abe261b14400321a5c7faf3cd4a14_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/134f4fa55ab1933296d688dd0edf85d35c5abe261b14400321a5c7faf3cd4a14_0000.json,"cell#0 r0c0 bbox=[12.8, 0.8, 584.1, 17.3] crosses_v=1 crosses_h=0 text='13.2.1 Method 1: DR Testing using FlashCopy . . . . . . . . . . . . . . . . . . ' || cell#2 r1c0 bbox=[12.1, 19.6, 584.2, 36.2] crosses_v=1 crosses_h=0 text='13.2.2 Method 2: DR Testing using Write Protect Mode on DR clusters . . . . . . ' || cell#4 r2c0 bbox=[13.0, 35.0, 584.4, 52.2] crosses_v=1 crosses_h=0 text='13.2.3 Method 3: DR testing without using Write Protect Mode on DR clusters . . ' || cell#6 r3c0 bbox=[8.3, 54.3, 584.3, 70.9] crosses_v=1 crosses_h=0 text='13.2.4 Method 4: Breaking the interconnects between the TS7700 grid . . . . . . '"
56900fdbd9344f5c6205b360bf5e51759b65c5e2150b527d81673f8bdc185ddc_0000,237,78,1,0,0,0,55,10,284,/home/chanho-cho/projects/Datasets/table_structure_val/image/56900fdbd9344f5c6205b360bf5e51759b65c5e2150b527d81673f8bdc185ddc_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/56900fdbd9344f5c6205b360bf5e51759b65c5e2150b527d81673f8bdc185ddc_0000.json,"cell#2 r0c2 bbox=[299.8, 7.7, 346.0, 23.0] crosses_v=1 crosses_h=0 text='in one or less' || cell#5 r0c6 bbox=[656.0, 7.1, 702.2, 22.0] crosses_v=1 crosses_h=0 text='Due after 10 years (b)' || cell#14 r3c5 bbox=[509.9, 70.7, 622.9, 83.6] crosses_v=1 crosses_h=0 text='$ 11,073' || cell#17 r3c8 bbox=[758.5, 71.1, 840.1, 83.6] crosses_v=1 crosses_h=0 text='125,648'"
352d4c2774119bd64852b6969fd0ab250789e6ff4e2fef8a50c660cfe781cb1a_0000,281,28,42,5,46,0,52,3,142,/home/chanho-cho/projects/Datasets/table_structure_val/image/352d4c2774119bd64852b6969fd0ab250789e6ff4e2fef8a50c660cfe781cb1a_0000.png,/home/chanho-cho/projects/Datasets/table_structure_val/json/352d4c2774119bd64852b6969fd0ab250789e6ff4e2fef8a50c660cfe781cb1a_0000.json,"cell#1 r0c1 bbox=[73.9, 30.3, 491.0, 45.8] crosses_v=1 crosses_h=0 text='help . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .' || cell#4 r1c1 bbox=[75.3, 46.4, 491.0, 63.5] crosses_v=1 crosses_h=0 text='Stepping through code . . . . . . . . . . . . . . . . . . . . . . . . .' || cell#7 r2c1 bbox=[77.7, 64.6, 491.0, 81.5] crosses_v=1 crosses_h=0 text='Placeholder for a, w, t, T . . . . . . . . . . . . . . . . . . . . . . . .' || cell#10 r3c1 bbox=[76.7, 82.9, 491.0, 99.4] crosses_v=1 crosses_h=0 text='REGULAR EXPRESSIONS . . . . . . . . . . . . . . . . . . . . .'"
